percent	clade_reads	taxon_reads	rank	taxid	name
35.11	100191	1797	G	583	Proteus
5.77	16470	10495	G	1883	Streptomyces
4.49	12818	692	G	561	Escherichia
3.84	10961	375	G	1569	Sporosarcina
3.17	9034	397	G	1742989	Glutamicibacter
3.03	8659	1188	G	648800	Solibacillus
1.23	3518	51	G	2979332	Prescottella
1.0	2854	1616	G	1350	Enterococcus
1.0	2840	523	G	400634	Lysinibacillus
0.83	2370	333	G	1485	Clostridium
0.72	2065	10	G	2742598	Limosilactobacillus
0.7	2000	84	G	1578	Lactobacillus
0.5	1424	69	G	2767887	Ligilactobacillus
0.45	1293	0	G	702	Plesiomonas
0.43	1224	0	G	9605	Homo
0.34	978	204	G	1386	Bacillus
0.3	855	238	G	44249	Paenibacillus
0.29	838	21	G	1221880	Psychrobacillus
0.25	722	214	G	469	Acinetobacter
0.24	680	28	G	1663	Arthrobacter
