contig	gene	gene_id	gene_start	gene_end	strand	annotation	read_count	total_overlap_bp	best_mapq	example_read
NC_058372.1	BMP6	gene-BMP6	20672770	20831131	-	GeneID:101098870	35	3711	60	2b638eb7-d4b5-4e09-828c-aa5cae2cb96e
NW_025408521.1	LOC123383640	gene-LOC123383640	51797	88589	-	GeneID:123383640	27	39205	12	109a1728-1926-420b-8568-c5b62258af50
NC_058370.1	LOC123384245	gene-LOC123384245	3068719	3336320	-	GeneID:123384245	27	23650	60	3e943d7e-c9c3-4a47-870a-8de331379708
NC_058384.1	LOC123382776	gene-LOC123382776	15593824	15639591	+	GeneID:123382776	22	21341	60	13133407-0aba-4801-8432-d2ce04197609
NC_058371.1	GRID2	gene-GRID2	127175839	128610295	-	GeneID:101084622,VGNC:VGNC:67465	19	17329	60	eb92b03a-24ce-4d5d-aaa0-c231f8ca1f36
NC_058378.1	CTNNA3	gene-CTNNA3	27220018	29003028	-	GeneID:101086346	16	15278	60	4cd20726-a4a1-468e-8d81-66cde0afa379
NC_058376.1	NAALADL2	gene-NAALADL2	90480707	91821160	-	GeneID:101098650,VGNC:VGNC:102784	15	17792	60	5d23108d-baef-4167-88b8-4207577d01f2
NC_058369.1	GRM7	gene-GRM7	48122554	49293729	+	GeneID:101090088,VGNC:VGNC:102595	15	17550	60	61ed785a-94da-4c55-bf76-c59a4635ebe3
NC_058377.1	LOC109492102	gene-LOC109492102	94508615	95698199	-	GeneID:109492102	15	15302	60	fc1e96ee-fa6a-4ee0-b20c-9b7fcfe95608
NC_058369.1	MAGI2	gene-MAGI2	82639321	84002969	-	GeneID:101091354,VGNC:VGNC:80620	14	13301	60	9db05a02-6b9c-4376-89d3-aeac58abd95a
NC_058374.1	CPM	gene-CPM	93717474	93802333	-	GeneID:101097407,VGNC:VGNC:61126	13	44300	60	ced9fb35-f24b-4c0e-9a08-7ca88b69c95f
NC_058370.1	MACROD2	gene-MACROD2	39431188	41457576	+	GeneID:101096466,VGNC:VGNC:82878	13	15571	60	250190cf-3a23-4a16-bd49-51fe575e0c4d
NC_058375.1	LOC101099137	gene-LOC101099137	38428793	39886288	-	GeneID:101099137	13	14958	60	c64de8e3-3f1e-47ac-b9cd-d9d13bf7a913
NC_058381.1	LOC123382142	gene-LOC123382142	13052475	13057117	+	GeneID:123382142	13	12264	1	b6495425-ae83-46b5-a876-599fa472f04c
NC_058371.1	CSMD1	gene-CSMD1	2732654	4749080	-	GeneID:101082560,VGNC:VGNC:61222	13	9969	60	1ead1704-e587-4d73-b780-cf3116d4f1f7
NC_058371.1	CCSER1	gene-CCSER1	129241517	130537520	-	GeneID:101097479,VGNC:VGNC:78465	12	12838	60	4e4f3a0b-49c9-49c0-8590-0d6416108b42
NC_058369.1	DGKB	gene-DGKB	107168388	108113843	-	GeneID:101082138,VGNC:VGNC:102575	12	12166	60	453fcb34-fc66-473b-a433-9161d1fcf5d9
NC_058369.1	CNTNAP2	gene-CNTNAP2	159464278	161429488	+	GeneID:101086795,VGNC:VGNC:102028	12	11909	60	d463201f-cca0-4f4c-90bf-9fd3eb6327d8
NW_025408537.1	LOC109497123	gene-LOC109497123	224052	339717	+	GeneID:109497123	12	10798	5	a34dadbd-913a-4f05-b096-fc87662570e4
NC_058375.1	LRP1B	gene-LRP1B	131451557	133392067	-	GeneID:101082332	12	9681	60	60d88be9-46b2-4b15-aab6-5125c51e9bcd
NC_058378.1	LOC123381008	gene-LOC123381008	41899146	42688781	-	GeneID:123381008	11	13092	60	f3fcd30b-2173-4e2c-90aa-f59b3c69f83e
NC_058372.1	PRKN	gene-PRKN	144392384	145733801	-	GeneID:101098228,VGNC:VGNC:102495	11	9585	60	5aca7c69-39b8-4084-8c76-45af99ef3cd8
NC_058378.1	PCDH15	gene-PCDH15	2324143	3873495	+	GeneID:101088616,VGNC:VGNC:64059	11	9313	60	65bc336e-e782-4e46-b055-99e6f1d4ab86
NC_058373.1	NRXN3	gene-NRXN3	122537673	124209116	+	GeneID:101087071,VGNC:VGNC:104573	11	9281	60	2a366e66-c530-4ddc-8053-6a070c697f96
NC_058383.1	RBFOX1	gene-RBFOX1	34761590	36822427	-	GeneID:101089565,VGNC:VGNC:64516	11	9035	60	4d900a0d-2d36-4eb2-9590-1910b97ef9c7
NC_058376.1	ROBO2	gene-ROBO2	29346637	31031905	+	GeneID:101096340	11	8627	60	682771f8-d18c-43f0-9e1a-6ec3d145c666
NC_058371.1	SGCZ	gene-SGCZ	23441586	24536417	+	GeneID:101086054,VGNC:VGNC:107463	11	8602	60	d37afb20-611a-40af-9554-9ee35d4c7a92
NC_058375.1	SPAG16	gene-SPAG16	197954897	198951975	+	GeneID:101101403,VGNC:VGNC:80363	10	16008	60	b71e5aba-1e37-44c0-925e-e4d993cddc2d
NC_058369.1	FHIT	gene-FHIT	27463988	28887941	-	GeneID:101082731,VGNC:VGNC:80046	10	15396	60	d33188aa-2872-4e5c-9bcf-d726fe9f4a96
NC_058373.1	AKAP6	gene-AKAP6	81699155	82290243	+	GeneID:101088495,VGNC:VGNC:59716	10	13592	60	34f372ba-51d9-4a1d-89bd-38e3052319fc
NC_058372.1	LOC111560488	gene-LOC111560488	72181368	72696694	+	GeneID:111560488	10	13350	60	e9f60516-430f-427f-a829-243a50ddc49e
NW_025408522.1	LOC109496868	gene-LOC109496868	28608	272015	-	GeneID:109496868	10	12125	60	df251a1d-f5be-4d36-a9fe-592f8b0c5d9b
NC_058384.1	SELP	gene-SELP	12076943	13211688	-	GeneID:101083565,VGNC:VGNC:64984	10	10600	60	991d2a18-52c9-41b1-bde4-fbb10529af5f
NC_058369.1	POU6F2	gene-POU6F2	74692532	75188717	-	GeneID:101099283,VGNC:VGNC:102664	10	10566	60	78708777-d596-46a3-97a5-b1dfc97f21e9
NC_058372.1	LOC111560505	gene-LOC111560505	92734644	93859942	-	GeneID:111560505	10	10163	60	3ab07f10-7a4b-4875-bea4-4df2c42fea4e
NC_058375.1	DPP10	gene-DPP10	121729706	123093003	-	GeneID:101086917,VGNC:VGNC:61602	10	9385	60	3a1e9758-ee1b-4117-92d1-df7b36deecce
NC_058380.1	ADAMTSL1	gene-ADAMTSL1	42804929	43688462	+	GeneID:101082271,VGNC:VGNC:59599	10	8324	60	f1f569b2-f483-447c-843f-1022be12cab9
NC_058375.1	THSD7B	gene-THSD7B	127462350	129045551	+	GeneID:105260853,VGNC:VGNC:66177	10	7842	60	5114d932-f790-4067-94a5-0404e1befe26
NC_058371.1	ADGRL3	gene-ADGRL3	154725140	155548588	-	GeneID:101081294,VGNC:VGNC:78449	10	7043	60	514c0a5c-65dc-439f-9292-4db485d2eaeb
NC_058375.1	ERBB4	gene-ERBB4	196122751	197261457	-	GeneID:101100073,VGNC:VGNC:80198	10	6919	60	8543c48b-f6bf-4898-ae52-d21b1e18c7ab
NC_058386.1	DMD	gene-DMD	26741260	29120869	-	GeneID:101084937	9	18584	60	8f3f3f8f-2387-440d-bacf-19f9b0a65f45
NC_058371.1	TENM3	gene-TENM3	12741583	14046185	+	GeneID:101086900,VGNC:VGNC:66071	9	13293	60	c9524c9e-8b69-421d-bb73-f31059b206ae
NC_058375.1	DPYD	gene-DPYD	82574455	83443629	-	GeneID:101084380,VGNC:VGNC:80189	9	10839	60	d8eaa39a-cf1c-41f7-9cbc-4e4955001f10
NC_058368.1	NALF1	gene-NALF1	77448998	78122346	-	GeneID:101088903,VGNC:VGNC:102202	9	10143	60	c59dc936-060b-4fe2-8f10-621c8ef876e1
NC_058376.1	ROBO1	gene-ROBO1	31907536	33037366	-	GeneID:101093131,VGNC:VGNC:102830	9	10099	60	6c12feb4-b094-44e2-801a-d8bcf87f1754
NC_058381.1	LOC123382141	gene-LOC123382141	12965670	12970312	+	GeneID:123382141	9	9764	0	919fb1de-9d47-4844-b387-761c4105671a
NC_058368.1	TENM2	gene-TENM2	180515467	182906800	-	GeneID:101085858,VGNC:VGNC:66070	9	8985	60	17bba1ca-b91e-4748-b2cf-98c0e86f14db
NC_058380.1	PTPRD	gene-PTPRD	33895587	34729927	-	GeneID:101094634,VGNC:VGNC:69171	9	8708	60	50365d33-85a9-41c6-b63f-5040db01bb5d
NC_058375.1	NCKAP5	gene-NCKAP5	124060906	125035093	-	GeneID:101088424,VGNC:VGNC:63738	9	7720	60	fb227c9b-38fc-4409-a71f-a18a88e86d1a
NC_058376.1	NLGN1	gene-NLGN1	91971268	92809810	-	GeneID:101081489,VGNC:VGNC:63821	9	7081	60	89f4ff4d-c34e-4070-a233-a0d86c26ad59
NC_058369.1	CNTN4	gene-CNTN4	44066911	44966519	+	GeneID:101098779,VGNC:VGNC:78408	9	6989	60	552a861e-750e-4400-a9bd-07038168bf53
NC_058370.1	PTPRT	gene-PTPRT	17145639	18210448	+	GeneID:101091931,VGNC:VGNC:69182	9	6496	60	3e0d71f6-77b2-45aa-8dd0-1f2acb7a1462
NC_001700.1	ND2	gene-KEF43_p12	4781	5822	+	GeneID:807935	9	3281	60	dc5e8fa4-2e7a-4a17-a603-dd7e4dda8822
NC_058370.1	LRRTM4	gene-LRRTM4	92605455	93529988	-	GeneID:101091013,VGNC:VGNC:63317	8	10901	60	b771b984-b297-4eb7-b137-4d8d7e163b0d
NC_058368.1	PRR16	gene-PRR16	97986653	98940492	+	GeneID:102900738,VGNC:VGNC:102295	8	8904	60	82d15985-f5cf-4e2a-8d96-46250541269f
NC_058369.1	HDAC9	gene-HDAC9	110806952	111746845	+	GeneID:101085705	8	8732	60	76add36e-7bfd-4416-8573-213693522f24
NC_058382.1	WWOX	gene-WWOX	52020210	53003279	+	GeneID:101093411	8	8455	60	d6abd667-991a-442d-a519-05e5ed12b91a
